"Library Name" "Address" "City" "State" "Latitude" "Longitude"
"Talking Books - Special Needs Library" "303 North Laura St, " "Jacksonville" "FL" NA NA
"University Park Branch Library" "3435 University Blvd N, " "Jacksonville" "FL" NA NA
"West Regional Library" "1425 Chaffee Rd S, " "Jacksonville" "FL" NA NA
"Westbrook Library" "2809 Commonwealth Avenue, " "Jacksonville" "FL" NA NA
"Willowbranch Library" "2875 Park Street, " "Jacksonville" "FL" NA NA
"Jasper Public Library" "311 Hatley Street Ne, " "Jasper" "FL" NA NA
"Jay Library" "5259 Brooker Lane, " "Jay" "FL" NA NA
"Jennings Public Library" "1322 Plum Street, " "Jennings" "FL" NA NA
"Hoke Branch Library" "1150 Nw Jack Williams Way, " "Jensen Beach" "FL" NA NA
"Jupiter Branch Library" "705 Military Trail, " "Jupiter" "FL" NA NA
"Kenansville Library Center" "1180 Canoe Creek Rd. South, " "Kenansville" "FL" NA NA
"Key Largo Branch" "101485 Overseas Hwy., " "Key Largo" "FL" NA NA
"Monroe County Public Library System" "700 Fleming Street, 33040" "Key Largo" "FL" NA NA
"Keystone Heights Branch Library" ", " "Keystone Heights" "FL" NA NA
"Kinard Public Library" "5416 S.W. State Road 73, " "Kinard" "FL" NA NA
"Buenaventura Lakes Library" "405 Buenaventura Blvd, " "Kissimmee" "FL" NA NA
"Hart Memorial Library" "211 E. Dakin Avenue, " "Kissimmee" "FL" NA NA
"Law Library" "211 E. Dakin Ave., " "Kissimmee" "FL" NA NA
"Osceola County Library System" "211 E. Dakin Avenue, 34741" "Kissimmee" "FL" NA NA
"Labelle Free Public Library" "461 North Main Street, " "Labelle" "FL" NA NA
"Lady Lake Public Library" "225 West Guava Street, " "Lady Lake" "FL" NA NA
"Lake Alfred Public Library" "195 East Pomelo Street, " "Lake Alfred" "FL" NA NA
"New River Public Library Cooperative" "110 N. Lake Ave, 32054" "Lake Butler" "FL" NA NA
"Union County Public Library" "175 West Main Street, " "Lake Butler" "FL" NA NA
"Columbia County Public Library" "308 Nw Columbia Avenue, 32055" "Lake City" "FL" NA NA
