"Library Name" "Address" "City" "ZIP Code" "State" "Latitude" "Longitude"
"159" "Heard County Public Library" "Franklin" "564 Main Street" NA "GA" -78.87376 42.889818
"160" "Blackshear Place Library" "Gainesville" "2927 Atlanta Highway" NA "GA" -84.1885559 34.1598868
"161" "East Hall Branch And Special Needs Library" "Gainesville" "2434 Old Cornelia Highway" NA "GA" -83.7770082 34.3137889
"162" "Hall County Library System" "Gainesville" "127 Main Street Nw" 30501 "GA" -83.8285138 34.3001677
"163" "Glascock County" "Gibson" "738 Railroad Street" NA "GA" -102.5244523 36.0673875
"164" "Glennville Public Library" "Glennville" "408 East Barnard Street" NA "GA" -81.9241227 31.9349372
"165" "Grantville Public Library" "Grantville" "123 La Grange Street" NA "GA" -75.9352033 42.1158322
"166" "Jones County Public Library" "Gray" "146 Railroad Avenue" NA "GA" -95.6530859 43.9562705
"167" "Greene County Library" "Greensboro" "610 South Main Street" NA "GA" -73.1951228 44.474812
"168" "Greenville Area Public Library" "Greenville" "10 Gilbert Street" NA "GA" -91.5515536 30.5681434
"169" "Flint River Regional Library System" "Griffin" "800 Memorial Drive" 30223 "GA" -84.2534006 33.2452328
"170" "Euchee Creek Branch" "Grovetown" "5907 Euchee Creek Dr." NA "GA" -82.2647211 33.476313
"171" "Slater Hahira Library" "Hahira" "220 East Main Street" NA "GA" -82.9936015 39.9570467
"172" "Harris County Public Library" "Hamilton" "138 North College Street" NA "GA" -73.2143751 44.4770333
"173" "Fortson Public Library" "Hampton" "14 Old Griffin Rd" NA "GA" -80.1439557 26.0592445
"174" "Hapeville Branch" "Hapeville" "525 King Arnold Street" NA "GA" -84.404688 33.658581
"175" "Harlem Branch" "Harlem" "375 N. Louisville Street" NA "GA" -82.310523 33.418871
"176" "Hart County Library System" "Hartwell" "150 Benson Street" 30643 "GA" -82.9304194 34.3497893
"177" "M. E. Roden Memorial Library" "Hawkinsville" "400 Commerce Street" NA "GA" -96.8091585 32.7784141
"178" "Hazlehurst-Jeff Davis Public Library" "Hazlehurst" "700 Cromartie Street" NA "GA" -82.6067976 31.8522015
"179" "White County Public Library-Helen Branch" "Helen" "box 1088" NA "GA" -99.7106491 19.281977
"180" "Towns County Public Library" "Hiawassee" "99 South Berrong Street" NA "GA" -83.7566864 34.9468039
"181" "Liberty" "Hinesville" "236 Memorial Drive" NA "GA" -72.5793005 42.1660276
"182" "Maude P. Ragsdale Public Library" "Hiram" "4969 Hiram-Acworth Highway" NA "GA" -84.7397772 33.9745477
"183" "Hogansville Public Library" "Hogansville" "600 East Main Street" NA "GA" -82.83706 39.9555892
"184" "Banks County Public Library" "Homer" "226 Hwy 51 S," NA "GA" 17.9382197 59.2142517
"185" "Clinch County Public Library" "Homerville" "507 W. Dame Street" NA "GA" -82.7556985 31.035729
"186" "Ideal Public Library" "Ideal" "605 Tom Watson Avenue" NA "GA" -84.188698 32.376544
"187" "East Wilkinson County Library" "Irwinton" "154 E. Main Street" NA "GA" -82.9951911 39.9566707
"188" "Jackson-Butts County Public Library" "Jackson" "436 East College Street" NA "GA" -78.9684997 38.3765392
"189" "Jakin Public Library" "Jakin" "p. o. box 234" NA "GA" NA NA
"190" "Pickens County Library" "Jasper" "100 Library Lane" NA "GA" -114.3393837 34.4799078
"191" "Twiggs County Public Library" "Jeffersonville" "151 Ash Street" NA "GA" -117.1633827 32.7198639
"192" "Wayne County Library" "Jesup" "759 Sunset Boulevard" NA "GA" -81.0683979 33.9972229
"193" "Clayton County Library System" "Jonesboro" "865 Battle Creek Road" 30236 "GA" -84.3633345 33.5532549
"194" "Jonesboro Branch Library" "Jonesboro" "124 Smith Street" NA "GA" -73.9900733 40.6875821
"195" "Kennesaw Library" "Kennesaw" "2250 Lewis Street" NA "GA" -117.8972416 33.7670354
"196" "West Cobb Regional Library" "Kennesaw" "1750 Dennis Kemp Lane" NA "GA" -84.7021867 33.9989541
"197" "Camden County Public Library" "Kingsland" "1410 Highway 40 East" NA "GA" -104.9699454 39.7400049
"198" "Cherokee Regional Library System" "Lafayette" "305 South Duke Street" 30728 "GA" -85.280923 34.702476
"199" "Lagrange Memorial Library" "Lagrange" "115 Alford Street" NA "GA" -85.038128 33.0378039
"200" "Johnson Lakes Library" "Lake Park" "720 Lakes Blvd" NA "GA" -83.2112121 30.6838105
"201" "Miller Lakeland Library" "Lakeland" "124 South Valdosta Road" NA "GA" -83.0752357 31.0408795
"202" "Lavonia-Carnegie Library" "Lavonia" "28 Hartwell Rd" NA "GA" -83.1025907 34.4345829
"203" "Collins Hill" "Lawrenceville" "455 Camp Perrin Rd" NA "GA" -84.0023128 34.0154716
"204" "Five Forks" "Lawrenceville" "2780 Five Forks Trickum Rd" NA "GA" -84.0550378 33.8933483
"205" "Gwinnett County Public Library System" "Lawrenceville" "1001 Lawrenceville Highway" 30045 "GA" -84.0147313 33.9424062
"206" "Lee County Public Library System" "Leesburg" "245 Walnut Avenue, South" 31763 "GA" -84.1717355 31.722149
"207" "Redbone Library" "Leesburg" "104 Thundering Springs Road" NA "GA" -84.0694331 31.6741164
"208" "Oglethorpe County Library" "Lexington" "858 Athens Rd." NA "GA" -83.131993 33.888869
"209" "Lilburn" "Lilburn" "788 Hillcrest Rd. Nw" NA "GA" -84.1456186 33.9017059
"210" "Mountain Park" "Lilburn" "1210 Pounds Rd. Sw" NA "GA" -84.1203325 33.8472774
"211" "Lincoln County Library" "Lincolnton" "181 N. Peachtree St." NA "GA" -96.6294993 32.7696053
"212" "Lithia Springs Public Library" "Lithia Springs" "7100 Junior High Drive" NA "GA" -84.6593203 33.7808985
"213" "Bruce Street Branch" "Lithonia" "2484 Bruce Street" NA "GA" -92.4623166 35.081259
"214" "Lithonia-Davidson Branch" "Lithonia" "6821 Church Street" NA "GA" -87.7968028 42.0480612
"215" "Salem-Panola Branch" "Lithonia" "5137 Salem Road" NA "GA" -88.9147578 38.3363266
"216" "Locust Grove Public Library" "Locust Grove" "3918 Highway 42" NA "GA" -84.109595 33.34574
"217" "Okelly Memorial Library" "Loganville" "363 Conyers Road" NA "GA" -84.1351735 33.4535997
"218" "Jefferson County Library System" "Louisville" "306 E. Broad Street" 30434 "GA" -82.4069836 32.9975727
"219" "Louisville Public Library" "Louisville" "306 E. Broad St." NA "GA" -94.0406252 33.4224448
"220" "Long County Public Library" "Ludowici" "26 Main Street" NA "GA" -96.8920142 50.129072
"221" "Nelle Brown Memorial Public Library" "Lyons" "166 West Liberty Street" NA "GA" -81.0956534 32.0753624
"222" "South Cobb Library" "Mableton" "5801 Mableton Parkway" NA "GA" -84.5716727 33.8124913
"223" "Middle Georgia Regional Library System" "Macon" "1180 Washington Avenue" 31201 "GA" -83.6387163 32.8385818
"224" "Riverside Branch Library" "Macon" "110 Holiday Drive North" NA "GA" -83.6867893 32.8983065
"225" "Rocky Creek Branch Library" "Macon" "1504 Rocky Creek Road" NA "GA" -83.6713808 32.7912189
"226" "Shurling Branch Library" "Macon" "1765 Shurling Drive" NA "GA" -83.5942255 32.8610426
"227" "West Bibb Branch Library" "Macon" "5580 Thomaston Road" NA "GA" -83.7440787 32.8323715
"228" "Morgan County Library" "Madison" "1131 East Avenue" NA "GA" -77.5743525 43.1501399
"229" "Manchester Public Library" "Manchester" "218 Perry Street" NA "GA" -83.2597482 40.9904783
"230" "Cobb County Public Library System" "Marietta" "266 Roswell Street" 30060 "GA" -84.5440069 33.9500185
"231" "East Marietta Library" "Marietta" "2051 Lower Roswell Road" NA "GA" -84.4929831 33.9501886
"232" "Gritters Library" "Marietta" "880 Shaw Park Road" NA "GA" -84.524238 34.02516
"233" "Hattie G. Wilson Library" "Marietta" "350 Lemon Street" NA "GA" -122.2452774 38.0867895
"234" "Kemp Memorial Library" "Marietta" "4029 Due West Road" NA "GA" -84.6684906 33.966482
"235" "Merchants Walk Library" "Marietta" "1315 Johnson Ferry Road" NA "GA" -84.4252394 33.9807384
"236" "Mountain View Library" "Marietta" "3320 Sandy Plains Road" NA "GA" -84.4657452 34.0313292
"237" "Sibley Library" "Marietta" "1539 South Cobb Drive" NA "GA" -84.5480813 33.9156474
"238" "Stratton Library" "Marietta" "1100 Powder Springs Road" NA "GA" -83.5265843 35.9095688
"239" "Maysville Public Library" "Maysville" "9247 Gillsville Road" NA "GA" -83.5625295 34.2539696
"240" "Henry County Library System" "Mcdonough" "1001 Florence Mcgarity Pkwy" 30252 "GA" -84.1266922 33.4427305
"241" "Telfair County Public Library" "Mcrae" "815 College Street" NA "GA" -97.4633092 31.0650123
"242" "L. C. Anderson Memorial Library" "Metter" "325 West Vertia Street" NA "GA" -82.0641975 32.3959023
"243" "Midville Branch" "Midville" "149 Trout" NA "GA" -82.0028581 26.8797121
"244" "Midway-Riceboro" "Midway" "1165 Bill Martin Road" NA "GA" -82.6746456 36.1182032
"245" "Lake Sinclair Library" "Milledgeville" "3061 North Columbia Street" NA "GA" -83.289647 33.184708
"246" "Twin Lakes Library System" "Milledgeville" "151 South Jefferson Street" 31061 "GA" -83.2252782 33.0805955
"247" "Jenkins County Memorial Library" "Millen" "223 Daniel Street" NA "GA" -77.5393745 35.9123164
"248" "Monroe-Walton County Library" "Monroe" "217 West Spring Street" NA "GA" -83.0077202 39.965784
"249" "Montezuma Public Library" "Montezuma" "506 N. Dooly Street" NA "GA" -84.0258041 32.3088634
"250" "Jasper County Library" "Monticello" "319 East Green Street" NA "GA" -88.1743197 40.1101433
"251" "Morrow Branch Library" "Morrow" "6225 Maddox Road" NA "GA" -84.1080909 30.9815428
"252" "Moultrie-Colquitt County Library System" "Moultrie" "204 5th Street Se" 31768 "GA" -83.7833048 31.1772135
"253" "Montgomery County Public Library" "Mt. Vernon" "215 Railroad Street" NA "GA" -72.016547 44.4157252
"254" "Murrayville Library" "Murrayville" "4796 Thompson Bridge Road" NA "GA" -83.8911676 34.4016999
"255" "Carrie Dorsey Perry Memorial Library" "Nashville" "315 West Marion Avenue" NA "GA" -81.5440052 35.2920847
"256" "Coweta County Public Library System" "Newnan" "85 Literary Lane" 30265 "GA" -84.669793 33.38561
"257" "Newnan-Coweta Public Library" "Newnan" "25 Hospital Road" NA "GA" -72.0381633 44.1465726
"258" "Baker County" "Newton" "100 River Street" NA "GA" -73.695834 42.72651
"259" "Nicholls Public Library" "Nicholls" "108 North Liberty Street" NA "GA" -88.26797 42.039347
"260" "Harold S. Swindle Public Library" "Nicholson" "5466 U.S. Hwy. 441 South" NA "GA" -81.9216177 28.9156715
"261" "Norcross" "Norcross" "6025 Buford Hwy." NA "GA" -84.257551 33.9187123
"262" "Peachtree Corners" "Norcross" "5570 Spalding Dr." NA "GA" -84.2243128 33.9695056
"263" "Irwin County Library" "Ocilla" "310 South Beech Street" NA "GA" -85.9096975 37.5987554
"264" "Pavo Public Library" "Pavo" "219 E. Harris Street" NA "GA" -83.7339204 30.9597655
"265" "Peachtree City Library" "Peachtree City" "201 Willowbend Road" NA "GA" -84.5805645 33.400456
