"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance" "Weight" "SizeWeight"
"OK" "OK0031" "35" "DUNCAN PUBLIC LIBRARY" 32 23507 "2211 N. HIGHWAY 81
DUNCAN, OK 73533
(34.53319, -97.966972)" "2211 N. HIGHWAY 81
DUNCAN, OK 73533
" 34.53319 -97.966972 23474 1 0 0 1 6 3.62 9.61999999999999 562691 20616 0 0 583307 294096 164575 458671 32523 11088 17884 61495 57587 577753 0 0 5432 52111 57543 57543 50588 23062 1548 5783 2809 76 12 35 47 48 2834 102375 4524 34192 247906 44025 149997 439 265 433 318 87 11846 11307 181 14 14740 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "2211 N. HIGHWAY 81" "DUNCAN" 73533 5802550636 "STEPHENS" 44493 "CI" "SO" "Y" "N" 715539 4.5 4616.445 842581.87065 1070078.9757255 69.4339962522053 0.000207422410354185 221.958360414321
"OK" "OK0033" "37" "EL RENO CARNEGIE LIBRARY" 32 17857 "215 E WADE
EL RENO, OK 73036
(35.531395, -97.952473)" "215 E WADE
EL RENO, OK 73036
" 35.531395 -97.952473 17832 1 0 0 0 4.85 0 4.85 225277 14046 3090 20453 262866 152803 45256 198059 18617 2785 3380 24782 39047 261888 0 0 0 0 0 0 27765 23147 507 5983 1084 76 2 35 37 37 2704 40364 7800 5804 51145 14147 5253 58 171 224 99 19 2088 1496 92 5 10952 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "215 E WADE" "EL RENO" 73036 4052622409 "CANADIAN" 129582 "CI" "SO" "Y" "N" 382334 4.5 3138.195 451002.46815 572773.1345505 32.7913916233158 0.00092999433719742 532.675771630781
"OK" "OK0035" "39" "ENID-PUBLIC LIBRARY OF ENID AND GARFIELD CO" 33 62267 "120 W. MAINE
ENID, OK 73701
(36.395512, -97.8787)" "120 W. MAINE
ENID, OK 73701
" 36.395512 -97.8787 62181 1 0 0 2 7 4.4 11.4 993609 31011 7490 0 1032110 619357 151613 770970 54563 12131 4553 71247 182402 1024619 0 0 0 0 0 0 63779 23062 1628 5783 1336 76 8 35 43 107 3120 158701 4316 27382 131075 54786 -1 575 2158 425 228 110 17922 11990 5550 38 52320 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "120 W. MAINE" "ENID" 73701 5802346313 "GARFIELD" 63091 "CI" "SO" "Y" "N" 870760 2.25 5913.0225 1025707.436325 1302648.44413275 73.0359898048035 0.000187467574901702 244.204344771042
"OK" "OK0036" "40" "FAIRFAX PUBLIC LIBRARY" 43 1379 "158 EAST ELM
FAIRFAX, OK 74637
(36.573489, -96.703663)" "158 EAST ELM
FAIRFAX, OK 74637
" 36.573489 -96.703663 1377 1 0 0 0 1.13 0 1.13 32478 5855 0 1352 39685 NA NA NA 4847 1130 87 6064 NA 42117 0 0 0 0 0 0 13512 0 53 0 111 0 1 35 36 13 780 2654 1560 1270 3974 887 0 0 0 6 6 0 121 121 0 6 720 -1 2015 2013-07-01 2014-06-30 1 6 0 0 0 "NO" "158 EAST ELM" "FAIRFAX" 74637 9186425535 "OSAGE" 47981 "CI" "SO" "Y" "N" 178227 14.25 759.0225 209413.646325 265955.33083275 88.6460882834183 0.000127256755912047 33.844612619291
"OK" "OK0039" "43" "GEARY PUBLIC LIBRARY" 43 1291 "106 W. MAIN ST
GEARY, OK 73040
(35.627887, -98.312609)" "106 W. MAIN ST
GEARY, OK 73040
" 35.627887 -98.312609 1289 1 0 0 0 0.5 0.71 1.21 33001 3194 0 0 36195 NA NA NA 20000 0 0 20000 NA 35300 0 0 0 0 0 0 13682 0 139 0 42 0 0 35 35 0 1196 5500 208 864 15973 3776 0 0 0 4 4 0 134 134 0 6 3500 -1 2015 2013-07-01 2014-06-30 1 6 0 0 15 "NO" "106 W. MAIN" "GEARY" 73040 4058842372 "BLAINE" 129582 "CI" "SO" "Y" "N" 180489 14.25 733.4025 212030.210925 269278.36787475 54.0817499300089 0.000341899549564191 92.0661526837576
"OK" "OK0041" "45" "GUTHRIE PUBLIC LIBRARY" 31 10908 "201 N DIVISION
