"STATE" "FSCS ID" "LIBRARY ID" "LIBRARY NAME" "LOCALE" "SERVICE AREA POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED POPULATION" "CENTRAL LIBRARIES" "BRANCH LIBRARIES" "BOOKMOBILES" "MLS LIBRARIAN STAFF" "LIBRARIAN STAFF" "OTHER STAFF" "TOTAL STAFF" "LOCAL REVENUE" "STATE REVENUE" "FEDERAL REVENUE" "OTHER REVENUE" "TOTAL REVENUE" "SALARIES" "BENEFITS" "TOTAL STAFF EXPENDITURES" "PRINT EXPENDITURES" "ELECTRONIC EXPENDITURES" "OTHER COLLECTION EXPENDITURES" "TOTAL COLLECTION EXPENDITURES" "OTHER EXPENDITURES" "TOTAL EXPENDITURES" "LOCAL CAPITAL REVENUE" "STATE CAPITAL REVENUE" "FEDERAL CAPITAL REVENUE" "OTHER CAPITAL REVENUE" "TOTAL CAPITAL REVENUE" "CAPITAL EXPENDITURES" "PRINT MATERIALS" "EBOOKS" "AUDIO MATERIALS" "AUDIO DOWNLOADS" "VIDEO MATERIALS" "VIDEO DOWNLOADS" "LOCAL DATABASES" "STATE DATABASES" "TOTAL DATABASES" "PRINT SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL CIRCULATION" "KIDS CIRCULATION" "ELECTRONIC CIRCULATION" "LOANS TO" "LOANS FROM" "TOTAL PROGRAMS" "KIDS PROGRAMS" "YA PROGRAMS" "PROGRAM AUDIENCE" "KIDS PROGRAM AUDIENCE" "YA PROGRAM AUDIENCE" "COMPUTERS" "COMPUTER USES" "WIFI SESSIONS" "YEAR" "START DATE" "END DATE" "REPORTING STATUS" "BEA REGION" "STRUCTURE CHANGE" "NAME CHANGE" "ADDRESS CHANGE" "INTERLIBRARY RELATIONSHIP" "MAILING ADDRESS" "MAILING CITY" "MAILING ZIP" "PHONE" "COUNTY" "COUNTY POPULATION" "LEGAL BASIS" "ADMINISTRATIVE STRUCTURE" "FSCS DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "GrossArea" "Size" "Distance"
" 47.818206 -110.668351 5766 1 3 0 0 3.2 1.1 4.3 177144 5226 0 0 182370 98016 9292 107308 21837 0 12193 34030 41032 182370 0 0 0 0 0 0 33623 13563 830 0 1194 0 0 34 34 51 4940 25480 936 3989 88600 43331 1245 35 20 136 96 0 2363 1357 0 15 6448 1298 2015 2013-07-01 2014-06-30 1 7 0 0 0 "ME" "PO BOX 639" "FORT BENTON" 59442 4066225222 "CHOUTEAU" 5894 "CO" "MO" "Y" "N" 464749 7 1865.73 545939.2341 693342.827307 32.2140611446188
"MT" "MT0033" "892" "GREAT FALLS PUBLIC LIBRARY" 13 78322 "301 2ND AVE NORTH
GREAT FALLS, MT 59401
(47.507525, -111.30205)" "301 2ND AVE NORTH
GREAT FALLS, MT 59401
" 47.507525 -111.30205 77686 1 0 1 3 3.6 18.77 22.37 1182711 29930 2500 224773 1439914 729959 325355 1055314 152610 45234 0 197844 256299 1509457 0 0 0 0 0 0 142014 13563 3583 9932 5397 0 1 34 35 260 3484 226044 10400 36368 346248 129947 28377 1057 771 465 328 12 13322 8820 118 40 63440 4200 2015 2013-07-01 2014-06-30 1 7 0 0 0 "ME" "301 2ND AVE NORTH" "GREAT FALLS" 59401 4064530349 "CASCADE" 82344 "CI" "MO" "Y" "N" 1968102 2.25 8642.235 2312790.75495 2937244.2587865 5.75136238140318
"MT" "MT0037" "720" "HARLOWTON PUBLIC LIBRARY" 43 2168 "13 SOUTH CENTRAL AVE
HARLOWTON, MT 59036
(46.433498, -109.830569)" "13 SOUTH CENTRAL AVE
HARLOWTON, MT 59036
" 46.433498 -109.830569 2150 1 0 0 0 0.88 0.4 1.28 72489 2642 0 50864 125995 NA NA NA 4219 455 0 4674 NA 74494 0 0 0 0 0 19674 13378 12869 754 9932 734 0 0 34 34 10 2704 17524 4160 712 8844 2360 402 17 9 4 2 1 4532 2682 1786 17 6552 0 2015 2013-07-01 2014-06-30 1 7 0 0 0 "ME" "PO BOX 663" "HARLOWTON" 59036 4066325584 "WHEATLAND" 2102 "CI" "SO" "Y" "N" 194153 14.25 1118.82 228468.0294 290154.397338 97.6588316080368
"MT" "MT0039" "1030" "LEWIS AND CLARK LIBRARY" 33 63395 "120 SOUTH LAST CHANCE GULCH
HELENA, MT 59601
(46.58501, -112.041393)" "120 SOUTH LAST CHANCE GULCH
HELENA, MT 59601
