"STATE" "FSCS.ID" "LIBRARY.ID" "LIBRARY.NAME" "LOCALE" "SERVICE.AREA.POPULATION" "LOCATION" "ADDRESS" "LATITUDE" "LONGITUDE" "UNDUPLICATED.POPULATION" "CENTRAL.LIBRARIES" "BRANCH.LIBRARIES" "BOOKMOBILES" "MLS.LIBRARIAN.STAFF" "LIBRARIAN.STAFF" "OTHER.STAFF" "TOTAL.STAFF" "LOCAL.REVENUE" "STATE.REVENUE" "FEDERAL.REVENUE" "OTHER.REVENUE" "TOTAL.REVENUE" "SALARIES" "BENEFITS" "TOTAL.STAFF.EXPENDITURES" "PRINT.EXPENDITURES" "ELECTRONIC.EXPENDITURES" "OTHER.COLLECTION.EXPENDITURES" "TOTAL.COLLECTION.EXPENDITURES" "OTHER.EXPENDITURES" "TOTAL.EXPENDITURES" "LOCAL.CAPITAL.REVENUE" "STATE.CAPITAL.REVENUE" "FEDERAL.CAPITAL.REVENUE" "OTHER.CAPITAL.REVENUE" "TOTAL.CAPITAL.REVENUE" "CAPITAL.EXPENDITURES" "PRINT.MATERIALS" "EBOOKS" "AUDIO.MATERIALS" "AUDIO.DOWNLOADS" "VIDEO.MATERIALS" "VIDEO.DOWNLOADS" "LOCAL.DATABASES" "STATE.DATABASES" "TOTAL.DATABASES" "PRINT.SERIALS" "HOURS" "VISITS" "REFERENCES" "USERS" "TOTAL.CIRCULATION" "KIDS.CIRCULATION" "ELECTRONIC.CIRCULATION" "LOANS.TO" "LOANS.FROM" "TOTAL.PROGRAMS" "KIDS.PROGRAMS" "YA.PROGRAMS" "PROGRAM.AUDIENCE" "KIDS.PROGRAM.AUDIENCE" "YA.PROGRAM.AUDIENCE" "COMPUTERS" "COMPUTER.USES" "WIFI.SESSIONS" "YEAR" "START.DATE" "END.DATE" "REPORTING.STATUS" "BEA.REGION" "STRUCTURE.CHANGE" "NAME.CHANGE" "ADDRESS.CHANGE" "INTERLIBRARY.RELATIONSHIP" "MAILING.ADDRESS" "MAILING.CITY" "MAILING.ZIP" "PHONE" "COUNTY" "COUNTY.POPULATION" "LEGAL.BASIS" "ADMINISTRATIVE.STRUCTURE" "FSCS.DEFINITION" "LSABOUND" "CollectionSpace" "seatsPer" "WorkSpace" "Size" "Distance" "Weight" "SizeWeight" "DriveDistance" "DriveWeight" "DriveSizeWeight"
"ND" "ND0054" "ND0054" "MADDOCK COMMUNITY LIBRARY" 43 382 "114 CENTRAL AVENUE
MADDOCK, ND 58348
(47.962432, -99.530109)" "114 CENTRAL AVENUE
MADDOCK, ND 58348
" 47.962432 -99.530109 382 1 0 0 0 1 0 1 4775 389 0 10609 15773 NA NA NA 979 42 12 1033 NA 15773 0 0 0 0 0 0 7500 0 40 0 40 0 33 25 58 1 1250 3200 475 250 6800 2800 0 4 75 10 3 2 469 312 17 4 75 3 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "NO" "PO BOX 188" "MADDOCK" 58348 7014382235 "BENSON" 6833 "CI" "SO" "Y" "N" 98733 22.5 407.85 99140.85 89.1011191789089 0.000125960298660919 12.4878110754974 124.388879913505 6.46304062393438e-05 6.40751341041384
"ND" "ND0058" "ND058" "MCKENZIE COUNTY PUBLIC LIBRARY" 43 9314 "112 SECOND AVENUE NE
WATFORD CITY, ND 58854
(47.802287, -103.282938)" "112 SECOND AVENUE NE
WATFORD CITY, ND 58854
" 47.802287 -103.282938 9314 1 0 1 1 2.95 0 2.95 132741 65899 0 10222 208862 129959 44658 174617 6106 0 218 6324 25273 206214 0 0 0 0 0 3000 22211 0 1089 0 748 0 0 25 25 37 2967 22276 64 3897 19705 10259 0 0 30 9 6 1 325 285 30 6 7536 -1 2015 "2014-01-01" "2014-12-31" 2 4 0 0 0 "NO" "PO BOX 990" "WATFORD CITY" 58854 7014443785 "MCKENZIE" 10996 "CO" "MO" "Y" "N" 313375 7 2398.44 315773.44 99.3194476282374 0.000101375126450372 32.0115724096688 140.382392782134 5.07428339795513e-05 16.0232392410718
"ND" "ND0059" "ND059" "MCLEAN-MERCER REGIONAL LIBRARY" 43 7819 "216 SECOND ST.
RIVERDALE, ND 58565
(47.497604, -101.376682)" "216 SECOND ST.
RIVERDALE, ND 58565
" 47.497604 -101.376682 7819 1 0 1 0 2 1 3 425923 47551 0 8056 481530 81663 25640 107303 46737 3305 5535 55577 231935 394815 0 0 0 0 0 0 31492 12805 1173 3955 1168 435 33 25 58 10 2288 1983 178 1428 14073 4882 6174 2316 296 18 9 9 288 153 135 3 327 -1 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "HQ" "PO BOX 505" "RIVERDALE" 58565 7016547652 "MCLEAN" 9578 "MJ" "MO" "Y" "N" 440094 7 2091.99 442185.99 63.535681763384 0.000247722019090464 109.539206256316 76.9594989250252 0.000168840075315555 74.6587158550834
"ND" "ND0062" "ND062" "MINOT PUBLIC LIBRARY" 33 46321 "516 2ND AVE SW
MINOT, ND 58701
(48.23427, -101.300898)" "516 2ND AVE SW
MINOT, ND 58701
" 48.23427 -101.300898 46321 1 0 0 3 5.5 11.58 17.0799999999999 1090940 90498 0 82340 1263778 687016 130552 817568 140931 64765 15458 221154 225056 1263778 5236 0 0 0 5236 5236 130013 29356 6248 9285 5223 435 60 25 85 318 3536 123602 21616 21874 381378 161618 36958 1841 176 405 326 63 12534 11537 836 28 26760 -1 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "NO" "516 2ND AVENUE SW" "MINOT" 58701 7018521045 "WARD" 69384 "CI" "SO" "Y" "N" 1844686 3 6730.88999999998 1851416.89 12.6732913084632 0.00622617272536197 11527.2413437925 15.2789342214821 0.00428364899880465 7930.82010721852
"ND" "ND0063" "ND063" "MOHALL PUBLIC LIBRARY" 43 783 "115 MAIN STREET WEST
MOHALL, ND 58761
(48.763478, -101.512842)" "115 MAIN STREET WEST
MOHALL, ND 58761
" 48.763478 -101.512842 783 1 0 0 0 1 0 1 21661 1195 0 4549 27405 NA NA NA 1663 86 0 1749 NA 21397 0 0 0 0 0 0 15750 0 653 0 0 0 33 25 58 0 1248 1705 105 814 3068 912 0 0 140 25 13 0 325 195 0 2 278 65 2015 "2014-01-01" "2014-12-31" 2 4 0 0 0 "NO" "PO BOX 159" "MOHALL" 58761 7017567242 "RENVILLE" 2587 "CI" "SO" "Y" "N" 213329 22.5 678.525 214007.525 25.3391587852169 0.00155745538268737 333.307171746853 35.8811686778431 0.000776724206641174 166.224825070866
"ND" "ND0068" "ND068" "NEW TOWN PUBLIC LIBRARY" 43 1925 "103 MAIN SOOLINE PLACE
NEW TOWN, ND 58763
(47.981452, -102.479719)" "103 MAIN SOOLINE PLACE
NEW TOWN, ND 58763
" 47.981452 -102.479719 1925 1 0 0 0 1 0 1 50853 1958 0 3517 56328 NA NA NA 3789 0 0 3789 NA 56328 0 0 0 0 0 0 9887 0 155 0 25 0 0 25 25 0 2040 3341 30 447 3103 487 0 0 0 4 3 1 185 180 5 7 2405 500 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "NO" "PO BOX 309" "NEW TOWN" 58763 7016274846 "MOUNTRAIL" 9782 "CI" "SO" "Y" "N" 131186 14.25 972.9375 132158.9375 60.5830270815166 0.000272457056974391 36.0076351641125 90.7173126871885 0.000121512133621565 16.0589144727841
"ND" "ND0072" "ND072" "PARSHALL PUBLIC LIBRARY" 43 903 "23 NORTH MAIN
PARSHALL, ND 58770
(47.955612, -102.133424)" "23 NORTH MAIN
PARSHALL, ND 58770
" 47.955612 -102.133424 903 1 0 0 0 0.6 0 0.6 15067 0 0 3958 19025 NA NA NA 1757 0 0 1757 NA 19025 0 0 0 0 0 0 7110 0 42 0 15 0 0 25 25 0 2080 1248 36 173 823 29 0 0 0 5 5 0 57 57 0 3 721 9 2015 "2014-01-01" "2014-12-31" 1 4 0 0 0 "NO" "PO BOX 159" "PARSHALL" 58770 7018622665 "MOUNTRAIL" 9782 "CI" "SO" "Y" "N" 93306 22.5 699.525 94005.525 48.5440372194091 0.000424353917526935 39.8916128029263 76.1430151490673 0.000172480443234492 16.2141146184911
"ND" "ND0075" "ND075" "ROLLA PUBLIC LIBRARY" 43 1280 "14 FIRST STREET SE
ROLLA, ND 58367
(48.859047, -99.615024)" "14 FIRST STREET SE
ROLLA, ND 58367
